dataset,policy,seed,round,total_rounds,labeled_count,budget_frac,modality,target,dsc_fg_round,hd95_fg,struct_detect
btcv_synapse,P0,1000,0,6,28,0.0187,ct,spleen,0.3297,,1.0
btcv_synapse,P0,1000,1,6,30,0.0201,ct,spleen,0.3179,,1.0
btcv_synapse,P0,1000,2,6,75,0.0502,ct,spleen,0.4325,,1.0
btcv_synapse,P0,1000,3,6,150,0.1004,ct,spleen,0.5244,,1.0
btcv_synapse,P0,1000,4,6,225,0.1506,ct,spleen,0.5269,,1.0
btcv_synapse,P0,1000,5,6,299,0.2001,ct,spleen,0.6155,,1.0
btcv_synapse,P1,1000,0,6,28,0.0187,ct,spleen,0.3369,,1.0
btcv_synapse,P1,1000,1,6,30,0.0201,ct,spleen,0.3557,,1.0
btcv_synapse,P1,1000,2,6,75,0.0502,ct,spleen,0.457,,1.0
btcv_synapse,P1,1000,3,6,150,0.1004,ct,spleen,0.5406,,1.0
btcv_synapse,P1,1000,4,6,225,0.1506,ct,spleen,0.6016,,1.0
btcv_synapse,P1,1000,5,6,299,0.2001,ct,spleen,0.6171,,1.0
btcv_synapse,P2,1000,0,6,28,0.0187,ct,spleen,0.3405,,1.0
btcv_synapse,P2,1000,1,6,30,0.0201,ct,spleen,0.3477,,0.9743589743589743
btcv_synapse,P2,1000,2,6,75,0.0502,ct,spleen,0.4462,,1.0
btcv_synapse,P2,1000,3,6,150,0.1004,ct,spleen,0.5573,,1.0
btcv_synapse,P2,1000,4,6,225,0.1506,ct,spleen,0.5835,,1.0
btcv_synapse,P2,1000,5,6,299,0.2001,ct,spleen,0.631,,1.0
btcv_synapse,P3,1000,0,6,28,0.0187,ct,spleen,0.3369,,1.0
btcv_synapse,P3,1000,1,6,30,0.0201,ct,spleen,0.292,,1.0
btcv_synapse,P3,1000,2,6,75,0.0502,ct,spleen,0.4011,,1.0
btcv_synapse,P3,1000,3,6,150,0.1004,ct,spleen,0.5076,,1.0
btcv_synapse,P3,1000,4,6,225,0.1506,ct,spleen,0.5407,,1.0
btcv_synapse,P3,1000,5,6,299,0.2001,ct,spleen,0.6225,,1.0
