dataset,policy_id,method,seed,round,labeled_count,labeled_ratio,mean_dsc_fg
btcv_synapse,P0,Random,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P0,Random,1000,1,30,0.0201,0.3384726899906961
btcv_synapse,P0,Random,1000,2,60,0.0402,0.3867499982096847
btcv_synapse,P0,Random,1000,3,105,0.0703,0.47997806707037616
btcv_synapse,P0,Random,1000,4,150,0.1004,0.5116425741624385
btcv_synapse,P0,Random,1000,5,225,0.1506,0.5453670859202467
btcv_synapse,P0,Random,1000,6,299,0.2001,0.5814998173953957
btcv_synapse,P0,Random,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P0,Random,2000,1,31,0.0201,0.3729445593404656
btcv_synapse,P0,Random,2000,2,62,0.0403,0.47697712878297377
btcv_synapse,P0,Random,2000,3,108,0.0701,0.5659513807581112
btcv_synapse,P0,Random,2000,4,154,0.1,0.6235737481377066
btcv_synapse,P0,Random,2000,5,231,0.15,0.6544084490978426
btcv_synapse,P0,Random,2000,6,308,0.2,0.6688808601182966
btcv_synapse,P0,Random,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P0,Random,3000,1,30,0.0202,0.1976269873766601
btcv_synapse,P0,Random,3000,2,60,0.0405,0.3893360030939455
btcv_synapse,P0,Random,3000,3,104,0.0702,0.4720311294961594
btcv_synapse,P0,Random,3000,4,149,0.1005,0.5790511759322644
btcv_synapse,P0,Random,3000,5,223,0.1505,0.6038405548904643
btcv_synapse,P0,Random,3000,6,297,0.2004,0.6668294001537687
btcv_synapse,P1,Entropy,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P1,Entropy,1000,1,30,0.0201,0.3557073242866779
btcv_synapse,P1,Entropy,1000,2,60,0.0402,0.40453709501675855
btcv_synapse,P1,Entropy,1000,3,105,0.0703,0.5055570448407923
btcv_synapse,P1,Entropy,1000,4,150,0.1004,0.5613342373591568
btcv_synapse,P1,Entropy,1000,5,225,0.1506,0.5911116438294219
btcv_synapse,P1,Entropy,1000,6,299,0.2001,0.6039184250264732
btcv_synapse,P1,Entropy,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P1,Entropy,2000,1,31,0.0201,0.4376726460224308
btcv_synapse,P1,Entropy,2000,2,62,0.0403,0.4621957166430681
btcv_synapse,P1,Entropy,2000,3,108,0.0701,0.6140166947395554
btcv_synapse,P1,Entropy,2000,4,154,0.1,0.638802517713569
btcv_synapse,P1,Entropy,2000,5,231,0.15,0.6948426877647131
btcv_synapse,P1,Entropy,2000,6,308,0.2,0.7150826276591739
btcv_synapse,P1,Entropy,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P1,Entropy,3000,1,30,0.0202,0.2476276353670381
btcv_synapse,P1,Entropy,3000,2,60,0.0405,0.4249436845751818
btcv_synapse,P1,Entropy,3000,3,104,0.0702,0.4887321819010105
btcv_synapse,P1,Entropy,3000,4,149,0.1005,0.5930227418250471
btcv_synapse,P1,Entropy,3000,5,223,0.1505,0.6308061361295461
btcv_synapse,P1,Entropy,3000,6,297,0.2004,0.6969938251182605
btcv_synapse,P2,BALD,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P2,BALD,1000,1,30,0.0201,0.3428498465058872
btcv_synapse,P2,BALD,1000,2,60,0.0402,0.4088777272540513
btcv_synapse,P2,BALD,1000,3,105,0.0703,0.4608960470944146
btcv_synapse,P2,BALD,1000,4,150,0.1004,0.46967213491975807
btcv_synapse,P2,BALD,1000,5,225,0.1506,0.6149036634111266
btcv_synapse,P2,BALD,1000,6,299,0.2001,0.6161830149943232
btcv_synapse,P2,BALD,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P2,BALD,2000,1,31,0.0201,0.3767559709351936
btcv_synapse,P2,BALD,2000,2,62,0.0403,0.49059901960618485
btcv_synapse,P2,BALD,2000,3,108,0.0701,0.5660104589277016
btcv_synapse,P2,BALD,2000,4,154,0.1,0.6536447008410152
btcv_synapse,P2,BALD,2000,5,231,0.15,0.6596218248266085
btcv_synapse,P2,BALD,2000,6,308,0.2,0.7194143941322483
btcv_synapse,P2,BALD,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P2,BALD,3000,1,30,0.0202,0.23607119624948814
btcv_synapse,P2,BALD,3000,2,60,0.0405,0.42545023347344624
btcv_synapse,P2,BALD,3000,3,104,0.0702,0.5141700112614381
btcv_synapse,P2,BALD,3000,4,149,0.1005,0.6362856352015674
btcv_synapse,P2,BALD,3000,5,223,0.1505,0.6703340494806432
btcv_synapse,P2,BALD,3000,6,297,0.2004,0.7020032289543691
btcv_synapse,P3,CoreSet,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P3,CoreSet,1000,1,30,0.0201,0.2919987086628567
btcv_synapse,P3,CoreSet,1000,2,60,0.0402,0.358960592413257
btcv_synapse,P3,CoreSet,1000,3,105,0.0703,0.47568101281277225
btcv_synapse,P3,CoreSet,1000,4,150,0.1004,0.4986472209162999
btcv_synapse,P3,CoreSet,1000,5,225,0.1506,0.5728381434232855
btcv_synapse,P3,CoreSet,1000,6,299,0.2001,0.6099012370393738
btcv_synapse,P3,CoreSet,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P3,CoreSet,2000,1,31,0.0201,0.3786180635303363
btcv_synapse,P3,CoreSet,2000,2,62,0.0403,0.49434017489224674
btcv_synapse,P3,CoreSet,2000,3,108,0.0701,0.5647000767286191
btcv_synapse,P3,CoreSet,2000,4,154,0.1,0.6349861169691897
btcv_synapse,P3,CoreSet,2000,5,231,0.15,0.6605553386428213
btcv_synapse,P3,CoreSet,2000,6,308,0.2,0.6904302453441368
btcv_synapse,P3,CoreSet,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P3,CoreSet,3000,1,30,0.0202,0.28769320463936154
btcv_synapse,P3,CoreSet,3000,2,60,0.0405,0.4283299300643986
btcv_synapse,P3,CoreSet,3000,3,104,0.0702,0.54314954387763
btcv_synapse,P3,CoreSet,3000,4,149,0.1005,0.5948417040642605
btcv_synapse,P3,CoreSet,3000,5,223,0.1505,0.6371074879026465
btcv_synapse,P3,CoreSet,3000,6,297,0.2004,0.6758295335892992
btcv_synapse,P4,BADGE,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P4,BADGE,1000,1,30,0.0201,0.3418403752511326
btcv_synapse,P4,BADGE,1000,2,60,0.0402,0.38998498469144854
btcv_synapse,P4,BADGE,1000,3,105,0.0703,0.48049137867056446
btcv_synapse,P4,BADGE,1000,4,150,0.1004,0.5092333652081823
btcv_synapse,P4,BADGE,1000,5,225,0.1506,0.5978348197855162
btcv_synapse,P4,BADGE,1000,6,299,0.2001,0.6285124722256361
btcv_synapse,P4,BADGE,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P4,BADGE,2000,1,31,0.0201,0.3607517780331162
btcv_synapse,P4,BADGE,2000,2,62,0.0403,0.5565818242397372
btcv_synapse,P4,BADGE,2000,3,108,0.0701,0.6035361269788041
btcv_synapse,P4,BADGE,2000,4,154,0.1,0.6401414900969814
btcv_synapse,P4,BADGE,2000,5,231,0.15,0.6812199473328766
btcv_synapse,P4,BADGE,2000,6,308,0.2,0.7060547688638287
btcv_synapse,P4,BADGE,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P4,BADGE,3000,1,30,0.0202,0.2389744252586963
